distance	shift	window_size_hrs	clust_metric	value	window_overlap_perc
CID-DTW	56	1.25	Calinkski-Harabasz	17899.8340692925	25
CID-DTW	56	1.25	entropy	1.33194247529146	25
CID-DTW	56	1.25	Dunn	0.734915207438189	25
CID-DTW	60	2	cluster	4	50
CID-DTW	60	2	totWSS	32340445.2863773	50
CID-DTW	60	2	totBSS/totSS	0.831350216702735	50
CID-DTW	60	2	silhouette	0.328539429259025	50
CID-DTW	60	2	Calinkski-Harabasz	14343.3811098487	50
CID-DTW	60	2	entropy	1.33573835763791	50
CID-DTW	60	2	Dunn	0.70902953342344	50
CID-DTW	60	4	cluster	3	75
CID-DTW	60	4	totWSS	85315819.8277384	75
CID-DTW	60	4	totBSS/totSS	0.735702479422244	75
CID-DTW	60	4	silhouette	0.342764764197222	75
CID-DTW	60	4	Calinkski-Harabasz	10426.5285801267	75
CID-DTW	60	4	entropy	1.019145822406	75
CID-DTW	60	4	Dunn	0.9921520041474	75
CID-DTW	67	1.5	cluster	15	25
CID-DTW	67	1.5	totWSS	3187574.11556494	25
CID-DTW	67	1.5	totBSS/totSS	0.972087386323823	25
CID-DTW	67	1.5	silhouette	0.245178709560643	25
CID-DTW	67	1.5	Calinkski-Harabasz	19632.0351883418	25
CID-DTW	67	1.5	entropy	2.61885855427637	25
CID-DTW	67	1.5	Dunn	0.206092104197457	25
CID-DTW	75	2.5	cluster	4	50
CID-DTW	75	2.5	totWSS	34310381.7584365	50
CID-DTW	75	2.5	totBSS/totSS	0.828806523731143	50
CID-DTW	75	2.5	silhouette	0.312219309825363	50
CID-DTW	75	2.5	Calinkski-Harabasz	11135.423882592	50
CID-DTW	75	2.5	entropy	1.33772428655896	50
CID-DTW	75	2.5	Dunn	0.68971610094839	50
CID-DTW	75	5	cluster	3	75
CID-DTW	75	5	totWSS	61198962.6853118	75
CID-DTW	75	5	totBSS/totSS	0.714980337286499	75
CID-DTW	75	5	silhouette	0.32200892229582	75
CID-DTW	75	5	Calinkski-Harabasz	5696.11629603589	75
CID-DTW	75	5	entropy	1.00400019552385	75
CID-DTW	75	5	Dunn	0.992617307200248	75
CID-DTW	82	5.5	cluster	3	75
CID-DTW	82	5.5	totWSS	47087446.4990915	75
CID-DTW	82	5.5	totBSS/totSS	0.725474531284296	75
CID-DTW	82	5.5	silhouette	0.314891773333339	75
CID-DTW	82	5.5	Calinkski-Harabasz	4597.38736974561	75
CID-DTW	82	5.5	entropy	0.99920431875396	75
CID-DTW	82	5.5	Dunn	1.00257923888449	75
CID-DTW	90	2	cluster	12	25
CID-DTW	90	2	totWSS	5971567.52705401	25
CID-DTW	90	2	totBSS/totSS	0.956408527011494	25
CID-DTW	90	2	silhouette	0.22102427351198	25
CID-DTW	90	2	Calinkski-Harabasz	11746.107784566	25
CID-DTW	90	2	entropy	2.37243105354784	25
CID-DTW	90	2	Dunn	0.253489035227408	25
CID-DTW	90	3	cluster	4	50
CID-DTW	90	3	totWSS	35060862.2012398	50
CID-DTW	90	3	totBSS/totSS	0.819582875404061	50
CID-DTW	90	3	silhouette	0.300440638115346	50
CID-DTW	90	3	Calinkski-Harabasz	8751.10819949649	50
CID-DTW	90	3	entropy	1.33107217854168	50
CID-DTW	90	3	Dunn	0.706289476813092	50
CID-DTW	90	6	cluster	3	75
CID-DTW	90	6	totWSS	43295158.974821	75
CID-DTW	90	6	totBSS/totSS	0.706551234879275	75
CID-DTW	90	6	silhouette	0.304049213792853	75
CID-DTW	90	6	Calinkski-Harabasz	3407.46490479622	75
CID-DTW	90	6	entropy	0.995487795398509	75
CID-DTW	90	6	Dunn	0.983945848949234	75
CID	0	1.25	cluster	3	0
CID	0	1.25	totWSS	7817.9561862699	0
CID	0	1.25	totBSS/totSS	0.81300338705286	0
CID	0	1.25	silhouette	0.343473976588999	0
CID	0	1.25	Calinkski-Harabasz	15258.7188492281	0
CID	0	1.25	entropy	1.05014261645712	0
CID	0	1.25	Dunn	1.69773670294857	0
CID	0	1.5	cluster	3	0
CID	0	1.5	totWSS	6406.94032223449	0
CID	0	1.5	totBSS/totSS	0.798641002883598	0
CID	0	1.5	silhouette	0.332828146525023	0
CID	0	1.5	Calinkski-Harabasz	11696.983304503	0
CID	0	1.5	entropy	1.05113028673832	0
CID	0	1.5	Dunn	1.63808214503409	0
CID	0	2.5	cluster	3	0
CID	0	2.5	totWSS	3502.38408466964	0
CID	0	2.5	totBSS/totSS	0.765531409138398	0
CID	0	2.5	silhouette	0.319000418018631	0
CID	0	2.5	Calinkski-Harabasz	5583.58647014967	0
CID	0	2.5	entropy	1.03673361308571	0
CID	0	2.5	Dunn	1.5996376827731	0
CID	0	2	cluster	3	0
CID	0	2	totWSS	4656.74587682016	0
CID	0	2	totBSS/totSS	0.780139911919169	0
